"modelo","significativo","variable","beta","sd","lower95","upper95","FOI"
"15_elev_prec_hum","Yes","prec_lag",-0.0452540743130305,0.0129812926147487,-0.0706883584512117,-0.0197682501973562,"variante"
"16_elev_prec_hum_dens","Yes","elevation_z",-0.0554401010932235,0.0125332606490913,-0.0798459618175966,-0.0306727662189978,"variante"
"16_elev_prec_hum_dens","No","hum_lag",0.00112693019924966,0.0219951796872029,-0.0412197290465691,0.0450123453218296,"variante"
"16_elev_prec_hum_dens","Yes","pop_dens_z",-0.0625811203164861,0.0123272288588609,-0.0868669112442402,-0.0385122851220226,"variante"
"16_elev_prec_hum_dens","Yes","prec_lag",-0.0794392867775972,0.0146113041605057,-0.108151229752814,-0.050834026611171,"variante"
"17_climate_dens","No","hum_lag",0.0136282833192084,0.0216433183113229,-0.0279993726750261,0.0568592580106669,"variante"
"17_climate_dens","Yes","pop_dens_z",-0.0694789559355318,0.0125773068449285,-0.0942405115395936,-0.0449045020904564,"variante"
"17_climate_dens","Yes","prec_lag",-0.0845345583104316,0.0145646795971741,-0.113160674582565,-0.0560271290685347,"variante"
"17_climate_dens","Yes","temp_lag",0.0490996910242527,0.0135822093942089,0.0221866147936621,0.075485731260847,"variante"
"19_temp_prec_inter","Yes","prec_lag",-0.0676166021025331,0.0149241960739903,-0.09691291138252,-0.0383677486827212,"variante"
"19_temp_prec_inter","Yes","temp_lag",0.0567122397495664,0.0141177292208518,0.0290188497224165,0.0844034928720703,"variante"
"19_temp_prec_inter","Yes","temp_x_prec",0.0423058160542961,0.0168774410485375,0.0092908242983285,0.075505117518138,"variante"
"20_temp_hum_inter","No","hum_lag",-0.0284120707375252,0.0246913189863067,-0.0762974858651133,0.0206052447317697,"variante"
"20_temp_hum_inter","No","temp_lag",0.0294782462778942,0.0153117354719301,-0.000724926840689311,0.0593475108909952,"variante"
"20_temp_hum_inter","Yes","temp_x_hum",0.0492880467379464,0.0195813334180176,0.0110056136915451,0.0878412010833165,"variante"
"22_elev_prec_inter","No","elev_x_prec",-0.0311745075991772,0.0234940280260024,-0.07772981860868,0.0144012693737065,"variante"
"22_elev_prec_inter","Yes","elevation_z",-0.0641162673027197,0.0151085666410929,-0.0939033873087606,-0.0346389832962912,"variante"
"22_elev_prec_inter","Yes","prec_lag",-0.0606225023308593,0.0173970031498837,-0.0948961306033002,-0.0266540652353385,"variante"
"23_dens_temp_inter","Yes","dens_x_temp",-0.0548292201365576,0.0184609668566093,-0.0916517931521268,-0.0191626599861595,"variante"
"23_dens_temp_inter","No","pop_dens_z",0.0123149977967109,0.0206162364871242,-0.0277467195950269,0.0531965902980294,"variante"
"23_dens_temp_inter","Yes","temp_lag",0.0778489303696162,0.0126049058553289,0.0532123886469629,0.102658325037253,"variante"
"24_dens_prec_inter","No","dens_x_prec",0.0378845758090531,0.0205477938459827,-0.00244368458476509,0.0781536831578136,"variante"
